Brand,Month,invoice_amount
Cellini,2023-07-01,17.97
Cellini,2023-08-01,-73.28
Cellini,2023-09-01,-160.27
Cellini,2023-10-01,-723.96
Cellini,2023-11-01,55.67
Cellini,2023-12-01,1376
SPOT,2023-01-01,1319.19
SPOT,2023-02-01,1951.16
SPOT,2023-03-01,3502.7
SPOT,2023-04-01,3396.82
SPOT,2023-05-01,10038.76
SPOT,2023-06-01,9373.14
SPOT,2023-07-01,7651.91
SPOT,2023-08-01,10000.23
SPOT,2023-09-01,10569.78
SPOT,2023-10-01,8809.27
SPOT,2023-11-01,10932.24
SPOT,2023-12-01,6569.87
Onanoff 2,2023-07-01,22.65
Onanoff 2,2023-08-01,-9.35
Onanoff 2,2023-09-01,-7.90
Onanoff 2,2023-10-01,441.96
Onanoff 2,2023-11-01,2696.78
Onanoff 2,2023-12-01,6037.27
Onanoff 2,2024-01-01,1055.94 
ZENS,2023-01-01,2270.18
ZENS,2023-02-01,680.74
ZENS,2023-03-01,1412.19
ZENS,2023-04-01,850.26
ZENS,2023-05-01,2422.54
ZENS,2023-06-01,2816.02
ZENS,2023-07-01,2039.34
ZENS,2023-08-01,2361.04
ZENS,2023-09-01,3722.57
ZENS,2023-10-01,4545.49
ZENS,2023-11-01,7736.73
ZENS,2023-12-01,9519.2
ZENS,2024-01-01,6234.54
SPOT,2024-01-01,11577.43
Fokus,2024-01-01,157.86
Cellini,2024-01-01,2131.23
