month,brand,marketplace_key,freight,turner_costs,ad_spend_manual,product_samples,total_invoice_amount,true_up_invoiced,miscellaneous,manual_unallocated_costs,Order_Coupon_CouponRedemptionFee,Other_ItemFee_SellerDealPayment,Other_ServiceFeeEvent_VineFee,OtherServiceFeeEventAmazonUpstreamProcessingFee,OtherServiceFeeEventAmazonUpstreamStorageTransportationFee,Other_ServiceFeeEvent_FBAInboundTransportationFee,Other_ServiceFeeEvent_CustomerReturnHRRUnitFee,Other_ServiceFeeEvent_GlobalInboundTransportationDuty,Other_ServiceFeeEvent_GlobalInboundTransportationFreight,Other_ServiceFeeEvent_STARStorageBilling,Other_ServiceFeeEvent_FBAInboundConvenienceFee
2023_01_01,Cellini,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_01_01,ONANOFF,Amazon_US,0,0,_3727.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_01_01,Onanoff2,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_01_01,SPOT,Amazon_US,_439.68,0,_483.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_01_01,ZENS,Amazon_US,0,0,0,0,0,0,_26.87,0,0,0,0,0,0,0,0,0,0,0,0
2023_02_01,Cellini,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_02_01,ONANOFF,Amazon_US,0,0,_2918.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_02_01,Onanoff2,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_02_01,SPOT,Amazon_US,_114.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_02_01,ZENS,Amazon_US,0,0,0,0,0,0,_27.17,0,0,0,0,0,0,0,0,0,0,0,0
2023_03_01,Cellini,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_03_01,ONANOFF,Amazon_US,0,0,_4624.86999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_03_01,Onanoff2,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_03_01,SPOT,Amazon_US,_746.59,0,_689.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_03_01,ZENS,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_04_01,Cellini,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_04_01,ONANOFF,Amazon_US,0,0,_4509.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_04_01,Onanoff2,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_04_01,SPOT,Amazon_US,_401.12,_3821,_750.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_04_01,ZENS,Amazon_US,0,0,_180.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_05_01,Cellini,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_05_01,ONANOFF,Amazon_US,0,0,_5184.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_05_01,Onanoff2,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_05_01,SPOT,Amazon_US,_364.06,_799.9364977,_670.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_05_01,ZENS,Amazon_US,0,0,_464.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_06_01,Cellini,Amazon_US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
